Line No,GOE Rev history,CA INPUT,Project Tag Status,File Source,Line No.1,Service / Description,Tag. Reg.,Project,GOE project CODE,Comment,PID DrawingNo,PID DrawingNo.1,PIDDrawingNo,Isometric Drawing No,Other Drawing No,GOE doc number-Naval-ing_comment,GOE doc number,GOE doc number no.3-4,Datasheet,Certificate DOC. No,Discipline,ISO ownership,System,Status,To Line No,From Line No,Package No,External coating,Internal coating,Material type,"Line """,Service Code,Insulation,Pipe Class,"Oper. Pressure 
(BARG)","Design Pressure 
(BARG)","Test Pressure 
(BARG)","Oper. 
Temperature 
(Deg C)","Design 
Temperature 
(Deg C)","Standard Velocity 
(m/s)","Calculated Velocity 
(m/s)",Replaced Line No,"Foreign 
Line No",PED / NR13,Modified By,Modified Date,AREA,PED Category,DCN NumBer,ComBined Thermal and Acoustic Insulation,Flushing and Drying,Chemical Cleaning,Internal Pickling and Passivation,Hot Oil Flushing,External Pickling and Passivation,Fluid state,Fluids,PED Fluid Group,PED Module(s),Equipment Type (as per 4119),Flange Management Criticality,DNV/ABS Piping Class,NDT,Unnamed: 64,Naval_comment,ISO booklet number,Remarks,Naviswork support tags_Marin,Fab drg booklet number and pages_Marin,OSE response 09/02/2026,TPR_comment,TPR_pid_no
"67-1.1/2""-AI-G1-7104",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,matched,
"67-3""-AI-G1-5516",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Partial match - Differences: Part 1 [P&ID: '44' vs Master: '67'], Part 2 [P&ID: '1.1/2""' vs Master: '3""'], Part 3 [P&ID: 'BS' vs Master: 'AI']",
"67-3""-AI-G1-7014",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Partial match - Differences: Part 1 [P&ID: '63' vs Master: '67'],
"67-3""-AI-G1-7015",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Partial match - Differences: Part 1 [P&ID: '63' vs Master: '67'],
"67-3""-AI-G1-7016",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Partial match - Differences: Part 1 [P&ID: '63' vs Master: '67'],
"97-6""-WCH-G2-7101-CP",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Partial match - Differences: Part 1 [P&ID: '55' vs Master: '97'], Part 2 [P&ID: '1""' vs Master: '6""'], Part 3 [P&ID: 'WFE' vs Master: 'WCH'], Part 6 [P&ID: 'PP' vs Master: 'CP']",
"97-6""-WCH-G2-7102-CP",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Partial match - Differences: Format mismatch: P&ID has 5 parts, Master has 6, Part 1 [P&ID: '44' vs Master: '97'], Part 2 [P&ID: '2""' vs Master: '6""'], Part 3 [P&ID: 'VA' vs Master: 'WCH'], Part 4 [P&ID: 'G1' vs Master: 'G2']",
"97-6""-WCH-G2-7103-CP",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Partial match - Differences: Part 1 [P&ID: '55' vs Master: '97'], Part 3 [P&ID: 'WFE' vs Master: 'WCH'], Part 6 [P&ID: 'PP' vs Master: 'CP']",
"35-4""-GLYD20-7015",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Unmatched - Not found in latest P&ID,
"35-4""-GLYD20-7016",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Partial match - Differences: Format mismatch: P&ID has 5 parts, Master has 4, Part 1 [P&ID: '52' vs Master: '35'], Part 2 [P&ID: '10""' vs Master: '4""'], Part 3 [P&ID: 'BS' vs Master: 'GLYD20'], Part 4 [P&ID: 'G1B' vs Master: '7016']",
"35-2""-GLYD20-7384",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Partial match - Differences: Format mismatch: P&ID has 5 parts, Master has 4, Part 3 [P&ID: 'GLY' vs Master: 'GLYD20'], Part 4 [P&ID: 'AD20' vs Master: '7384']",
